country,question,answer
All,"The customer is asking for my full name.","You should only provide your first name for privacy reasons. Do not give out your full name or any other personal information to the customer."
All,"What if I get a parking fine?","You are responsible for all parking fines. It is your responsibility to park legally and safely while on a delivery."
All,"A customer is not home. What happens to the food?","The app will guide you through the process, which usually involves a waiting period. In most cases, you will be instructed to dispose of the food after a set waiting period."
All,"Can I deliver with a friend?","Yes, but you must be the only person handling the delivery for safety and liability reasons."
All,"What if I have to use a paid parking lot?","Parking costs can be claimed as a business expense on your tax return. Keep a record of all receipts for your tax filings."
All,"What is the best time to work?","Peak hours are typically mealtimes (lunch and dinner). Weekends and holidays are also often the most profitable."
All,"How do I handle a customer who didn't receive their order?","Advise the customer to contact iDelivery's customer support. They can track the order and investigate the issue."
All,"Can I use a second app at the same time?","Yes, you can be active on multiple platforms. However, you are responsible for managing your time to ensure all deliveries are completed promptly."
All,"What if I'm injured on a delivery?","Seek medical attention first. Then, contact iDelivery support to report the incident and check on any company policies regarding work-related injuries."
All,"Do I need a special license to be a courier?","You need a valid driver's license for your vehicle type. However, for a commercial vehicle, a special license may be required by local law."
All,"How do I handle a situation where a customer is at a public place?","Call the customer to confirm their exact location. Look for landmarks or distinguishing features to make a successful delivery."
All,"Can I have someone else with me while I'm delivering?","You can, but they cannot perform any part of the delivery. The order must be delivered by you alone for safety and liability reasons."
All,"The restaurant won't give me the order. What do I do?","Politely explain you are with iDelivery. If they still refuse, contact support immediately and report the issue. Do not engage in an argument."
All,"The customer is not responding. How long should I wait?","The app will have a timer, usually 5-10 minutes. If the customer doesn't respond, contact support for instructions."
All,"My vehicle has run out of fuel mid-delivery.","Contact iDelivery support immediately. They will reassign the order, and you will need to arrange for fuel yourself."
All,"Can I use a different vehicle than the one registered?","You can, but you must ensure it meets all safety and insurance requirements. You should also update the vehicle details with iDelivery support."
All,"What if the restaurant is refusing to give me the order?","Do not argue with the staff. Contact iDelivery support immediately and report the issue. They will intervene on your behalf."
All,"What if I forget the customer's PIN?","The PIN is in the app. If you forget it, you must contact iDelivery support to verify it and complete the order."
All,"The customer is asking for a refund directly from me.","Do not provide a refund. Advise the customer to contact iDelivery's customer service directly to resolve the issue."
All,"What if the customer is trying to pay with a different payment method?","Do not accept any form of payment outside of the app. Advise the customer that all payments are handled digitally."
All,"The customer is claiming the order has been delivered but I haven't completed it.","This is likely a scam attempt. Report the customer to iDelivery support and do not proceed with the delivery."
All,"Can I refuse an order if the weather is bad?","Yes, you have the right to decline an order if you feel unsafe due to weather conditions. Your safety is a priority."
All,"What if a customer asks me to leave the order in their car?","Leave the order at the door or another secure location. Do not place it inside a vehicle. This is for your safety and to prevent liability issues."
All,"What if my phone battery dies mid-delivery?","Charge your phone as quickly as possible. If the order is delayed, contact iDelivery support to let them know the situation."
All,"Can I use a VPN while using the app?","No, using a VPN can cause issues with GPS and order assignment. It can also lead to suspension of your account."
All,"What happens if a customer complains about me?","The company will investigate the complaint. If it's a serious issue, it could lead to a review of your account and potential suspension."
All,"I was unable to complete an order due to a personal emergency. What should I do?","Contact iDelivery support immediately and let them know you are unable to continue the delivery. They will reassign the order."
All,"Can I refuse to deliver to a public building?","No, you must deliver to the specified address. However, you can report any issues to support."
All,"What if I get a parking ticket on a delivery?","You are responsible for all parking tickets. It is your responsibility to park legally while on a delivery."
All,"The customer wants me to leave the order with a neighbor.","Only leave the order with a neighbor if the customer has specified this in the delivery notes. Otherwise, contact support."
All,"I have a question about my tax filing. Can you help?","No, iDelivery cannot provide tax advice. You should consult a qualified tax professional to ensure you are complying with all local tax regulations."
All,"What if the order is sealed with tamper-proof stickers?","Do not open the bag. The customer is responsible for checking the contents of the order once they receive it. Your responsibility is to deliver the order as it was provided."
All,"What if I get a speeding ticket?","You are responsible for any traffic violations you incur, including speeding tickets. The company will not reimburse you for these fines."
All,"The customer is asking for my full name.","You should only provide your first name for privacy reasons. Do not give out your full name or any other personal information to the customer."
All,"What if I get a parking fine?","You are responsible for all parking fines. It is your responsibility to park legally and safely while on a delivery."
All,"A customer is not home. What happens to the food?","The app will guide you through the process, which usually involves a waiting period. In most cases, you will be instructed to dispose of the food after a set waiting period."
All,"Can I deliver with a friend?","Yes, but you must be the only person handling the delivery for safety and liability reasons."
All,"What if I have to use a paid parking lot?","Parking costs can be claimed as a business expense on your tax return. Keep a record of all receipts for your tax filings."
All,"What is the best time to work?","Peak hours are typically mealtimes (lunch and dinner). Weekends and holidays are also often the most profitable."
All,"How do I handle a customer who didn't receive their order?","Advise the customer to contact iDelivery's customer support. They can track the order and investigate the issue."
All,"Can I use a second app at the same time?","Yes, you can be active on multiple platforms. However, you are responsible for managing your time to ensure all deliveries are completed promptly."
All,"What if I'm injured on a delivery?","Seek medical attention first. Then, contact iDelivery support to report the incident and check on any company policies regarding work-related injuries."
All,"Do I need a special license to be a courier?","You need a valid driver's license for your vehicle type. However, for a commercial vehicle, a special license may be required by local law."
All,"How do I handle a situation where a customer is at a public place?","Call the customer to confirm their exact location. Look for landmarks or distinguishing features to make a successful delivery."
All,"Can I have someone else with me while I'm delivering?","You can, but they cannot perform any part of the delivery. The order must be delivered by you alone for safety and liability reasons."
All,"The restaurant won't give me the order. What do I do?","Politely explain you are with iDelivery. If they still refuse, contact support immediately and report the issue. Do not engage in an argument."
All,"The customer is not responding. How long should I wait?","The app will have a timer, usually 5-10 minutes. If the customer doesn't respond, contact support for instructions."
All,"My vehicle has run out of fuel mid-delivery.","Contact iDelivery support immediately. They will reassign the order, and you will need to arrange for fuel yourself."
All,"Can I use a different vehicle than the one registered?","You can, but you must ensure it meets all safety and insurance requirements. You should also update the vehicle details with iDelivery support."
All,"What if the restaurant is refusing to give me the order?","Do not argue with the staff. Contact iDelivery support immediately and report the issue. They will intervene on your behalf."
All,"What if I forget the customer's PIN?","The PIN is in the app. If you forget it, you must contact iDelivery support to verify it and complete the order."
All,"The customer is asking for a refund directly from me.","Do not provide a refund. Advise the customer to contact iDelivery's customer service directly to resolve the issue."
All,"What if the customer is trying to pay with a different payment method?","Do not accept any form of payment outside of the app. Advise the customer that all payments are handled digitally."
All,"The customer is claiming the order has been delivered but I haven't completed it.","This is likely a scam attempt. Report the customer to iDelivery support and do not proceed with the delivery."
All,"Can I refuse an order if the weather is bad?","Yes, you have the right to decline an order if you feel unsafe due to weather conditions. Your safety is a priority."
All,"What if a customer asks me to leave the order in their car?","Leave the order at the door or another secure location. Do not place it inside a vehicle. This is for your safety and to prevent liability issues."
All,"What if my phone battery dies mid-delivery?","Charge your phone as quickly as possible. If the order is delayed, contact iDelivery support to let them know the situation."
All,"Can I use a VPN while using the app?","No, using a VPN can cause issues with GPS and order assignment. It can also lead to suspension of your account."
All,"What happens if a customer complains about me?","The company will investigate the complaint. If it's a serious issue, it could lead to a review of your account and potential suspension."
All,"I was unable to complete an order due to a personal emergency. What should I do?","Contact iDelivery support immediately and let them know you are unable to continue the delivery. They will reassign the order."
All,"Can I refuse to deliver to a public building?","No, you must deliver to the specified address. However, you can report any issues to support."
All,"What if I get a parking ticket on a delivery?","You are responsible for all parking tickets. It is your responsibility to park legally while on a delivery."
All,"The customer wants me to leave the order with a neighbor.","Only leave the order with a neighbor if the customer has specified this in the delivery notes. Otherwise, contact support."
All,"I have a question about my tax filing. Can you help?","No, iDelivery cannot provide tax advice. You should consult a qualified tax professional to ensure you are complying with all local tax regulations."
All,"What if the order is sealed with tamper-proof stickers?","Do not open the bag. The customer is responsible for checking the contents of the order once they receive it. Your responsibility is to deliver the order as it was provided."
All,"What if I get a speeding ticket?","You are responsible for any traffic violations you incur, including speeding tickets. The company will not reimburse you for these fines."
All,"The customer is asking for my full name.","You should only provide your first name for privacy reasons. Do not give out your full name or any other personal information to the customer."
All,"What if I get a parking fine?","You are responsible for all parking fines. It is your responsibility to park legally and safely while on a delivery."
All,"A customer is not home. What happens to the food?","The app will guide you through the process, which usually involves a waiting period. In most cases, you will be instructed to dispose of the food after a set waiting period."
All,"Can I deliver with a friend?","Yes, but you must be the only person handling the delivery for safety and liability reasons."
All,"What if I have to use a paid parking lot?","Parking costs can be claimed as a business expense on your tax return. Keep a record of all receipts for your tax filings."
All,"I received an order for a closed business.","Contact iDelivery support immediately. They will cancel the order, and you will get a partial payment as compensation."
All,"The customer has a special request in the notes that I cannot fulfill.","Politely inform the customer you cannot fulfill the request and advise them to contact customer service to make a change to the order."
All,"What if I have to cross a toll bridge?","You will be reimbursed for tolls. Contact iDelivery support with your receipt for instructions on how to submit it for payment."
All,"What is the dress code?","There is no strict dress code, but you must be neat, clean, and presentable. A professional appearance is important for a good customer experience."
All,"I can't find the customer's office in a large building.","Call the customer to ask for a specific office number or to meet you in the lobby. This is a common situation that requires direct communication."
All,"The customer is claiming the order has been delivered but I haven't completed it.","This is likely a scam attempt. Report the customer to iDelivery support immediately and do not proceed with the delivery to prevent fraud."
All,"What if I get a speeding ticket?","You are responsible for the ticket. The company will not reimburse you for traffic violations, as they are your personal responsibility."
All,"Can I use a different vehicle than the one I registered?","Yes, but you must ensure it meets all safety and insurance requirements. You should also update your vehicle details with iDelivery support for accurate delivery assignments."
All,"What if I have a question about my tax filing?","The company cannot provide tax advice. You should consult a tax professional to ensure you are complying with all tax regulations for your country."
All,"The customer is asking for a different item.","Explain that you are not able to modify the order and that they must contact customer service. You are a courier, not a restaurant employee."
All,"What if the restaurant is out of an item?","Inform the customer of the missing item and advise them to contact customer service for a refund. You cannot add or change items in the order."
All,"The customer has a promotional code problem.","Advise them to contact customer service. You are not responsible for promotions or discounts, as these are handled by the company's billing system."
All,"What if a customer wants to give me an item to take back to the restaurant?","Do not take anything back. Advise the customer to contact customer service for a refund or to arrange a new order."
All,"The customer is asking for a refund directly from me.","Do not provide a refund. Advise the customer to contact the company's customer service directly to resolve the issue. You cannot handle financial transactions."
All,"Can I change my profile picture?","You can change your profile picture by contacting iDelivery support. They will review and approve the new photo to ensure it meets company standards."
All,"What if my phone battery dies mid-delivery?","Charge your phone as quickly as possible. If the order is delayed, contact iDelivery support to let them know the situation and get help."
All,"What if a customer is offering me an additional tip in cash?","You can accept cash tips, as they are not tracked by the company. Tips are always for you to keep and do not affect your regular pay."
All,"What is the difference between a receipt and an invoice?","A receipt is proof of payment, and an invoice is a document requesting payment. As a courier, you will receive payment statements that serve as invoices for your services."
All,"I have a question about my tax filing. Can you help?","No, iDelivery cannot provide tax advice. You should consult a qualified tax professional to ensure you are complying with all local tax regulations."
All,"What if I have to cross a toll bridge?","You will be reimbursed for tolls. Contact iDelivery support with your receipt for instructions on how to submit it for payment."
All,"What if I have to pay for parking?","You are responsible for all parking tickets. It is your responsibility to park legally while on a delivery."
All,"A customer is not home. What happens to the food?","The app will guide you through the process, which usually involves a waiting period. In most cases, you will be instructed to dispose of the food after a set waiting period."
All,"Can I deliver with a friend?","Yes, but you must be the only person handling the delivery for safety and liability reasons."
All,"What if I have to use a paid parking lot?","Parking costs can be claimed as a business expense on your tax return. Keep a record of all receipts for your tax filings."
All,"What is the best time to work?","Peak hours are typically mealtimes (lunch and dinner). Weekends and holidays are also often the most profitable."
All,"What if a customer gives me a low rating?","A low rating on its own won't have a significant impact. However, a consistent pattern of low ratings could be reviewed by the company."
All,"How do I handle a customer who didn't receive their order?","Advise the customer to contact iDelivery's customer support. They can track the order and investigate the issue."
All,"Can I use a second app at the same time?","Yes, you can be active on multiple platforms. However, you are responsible for managing your time to ensure all deliveries are completed promptly."
All,"What if I'm injured on a delivery?","Seek medical attention first. Then, contact iDelivery support to report the incident and check on any company policies regarding work-related injuries."
All,"Do I need a special license to be a courier?","You need a valid driver's license for your vehicle type. However, for a commercial vehicle, a special license may be required by local law."
All,"How do I handle a situation where a customer is at a public place?","Call the customer to confirm their exact location. Look for landmarks or distinguishing features to make a successful delivery."
All,"Can I have someone else with me while I'm delivering?","You can, but they cannot perform any part of the delivery. The order must be delivered by you alone for safety and liability reasons."
All,"The restaurant won't give me the order. What do I do?","Politely explain you are with iDelivery. If they still refuse, contact support immediately and report the issue. Do not engage in an argument."
All,"The customer is not responding. How long should I wait?","The app will have a timer, usually 5-10 minutes. If the customer doesn't respond, contact support for instructions."
All,"My vehicle has run out of fuel mid-delivery.","Contact iDelivery support immediately. They will reassign the order, and you will need to arrange for fuel yourself."
All,"Can I use a different vehicle than the one registered?","You can, but you must ensure it meets all safety and insurance requirements. You should also update the vehicle details with iDelivery support."
All,"What if the restaurant is refusing to give me the order?","Do not argue with the staff. Contact iDelivery support immediately and report the issue. They will intervene on your behalf."
All,"What if I forget the customer's PIN?","The PIN is in the app. If you forget it, you must contact iDelivery support to verify it and complete the order."
All,"The customer is asking for a refund directly from me.","Do not provide a refund. Advise the customer to contact iDelivery's customer service directly to resolve the issue."
All,"What if the customer is trying to pay with a different payment method?","Do not accept any form of payment outside of the app. Advise the customer that all payments are handled digitally."
All,"The customer is claiming the order has been delivered but I haven't completed it.","This is likely a scam attempt. Report the customer to iDelivery support and do not proceed with the delivery."
All,"Can I refuse an order if the weather is bad?","Yes, you have the right to decline an order if you feel unsafe due to weather conditions. Your safety is a priority."
All,"What if a customer asks me to leave the order in their car?","Leave the order at the door or another secure location. Do not place it inside a vehicle. This is for your safety and to prevent liability issues."
All,"What if my phone battery dies mid-delivery?","Charge your phone as quickly as possible. If the order is delayed, contact iDelivery support to let them know the situation."
All,"Can I use a VPN while using the app?","No, using a VPN can cause issues with GPS and order assignment. It can also lead to suspension of your account."
All,"What happens if a customer complains about me?","The company will investigate the complaint. If it's a serious issue, it could lead to a review of your account and potential suspension."
All,"I was unable to complete an order due to a personal emergency. What should I do?","Contact iDelivery support immediately and let them know you are unable to continue the delivery. They will reassign the order."
All,"Can I refuse to deliver to a public building?","No, you must deliver to the specified address. However, you can report any issues to support."
All,"What if I get a parking ticket on a delivery?","You are responsible for all parking tickets. It is your responsibility to park legally while on a delivery."
All,"The customer wants me to leave the order with a neighbor.","Only leave the order with a neighbor if the customer has specified this in the delivery notes. Otherwise, contact support."
All,"I have a question about my tax filing. Can you help?","No, iDelivery cannot provide tax advice. You should consult a qualified tax professional to ensure you are complying with all local tax regulations."
All,"What if the order is sealed with tamper-proof stickers?","Do not open the bag. The customer is responsible for checking the contents of the order once they receive it. Your responsibility is to deliver the order as it was provided."
All,"What if I get a speeding ticket?","You are responsible for any traffic violations you incur, including speeding tickets. The company will not reimburse you for these fines."
All,"The customer is asking for my full name.","You should only provide your first name for privacy reasons. Do not give out your full name or any other personal information to the customer."
All,"What if I get a parking fine?","You are responsible for all parking fines. It is your responsibility to park legally and safely while on a delivery."
All,"A customer is not home. What happens to the food?","The app will guide you through the process, which usually involves a waiting period. In most cases, you will be instructed to dispose of the food after a set waiting period."
All,"Can I deliver with a friend?","Yes, but you must be the only person handling the delivery for safety and liability reasons."
All,"What if I have to use a paid parking lot?","Parking costs can be claimed as a business expense on your tax return. Keep a record of all receipts for your tax filings."
All,"What is the best time to work?","Peak hours are typically mealtimes (lunch and dinner). Weekends and holidays are also often the most profitable."
All,"How do I handle a customer who didn't receive their order?","Advise the customer to contact iDelivery's customer support. They can track the order and investigate the issue."
All,"Can I use a second app at the same time?","Yes, you can be active on multiple platforms. However, you are responsible for managing your time to ensure all deliveries are completed promptly."
All,"What if I'm injured on a delivery?","Seek medical attention first. Then, contact iDelivery support to report the incident and check on any company policies regarding work-related injuries."
All,"Do I need a special license to be a courier?","You need a valid driver's license for your vehicle type. However, for a commercial vehicle, a special license may be required by local law."
All,"How do I handle a situation where a customer is at a public place?","Call the customer to confirm their exact location. Look for landmarks or distinguishing features to make a successful delivery."
All,"Can I have someone else with me while I'm delivering?","You can, but they cannot perform any part of the delivery. The order must be delivered by you alone for safety and liability reasons."
All,"The restaurant won't give me the order. What do I do?","Politely explain you are with iDelivery. If they still refuse, contact support immediately and report the issue. Do not engage in an argument."
All,"The customer is not responding. How long should I wait?","The app will have a timer, usually 5-10 minutes. If the customer doesn't respond, contact support for instructions."
All,"My vehicle has run out of fuel mid-delivery.","Contact iDelivery support immediately. They will reassign the order, and you will need to arrange for fuel yourself."
All,"Can I use a different vehicle than the one registered?","You can, but you must ensure it meets all safety and insurance requirements. You should also update the vehicle details with iDelivery support."
All,"What if the restaurant is refusing to give me the order?","Do not argue with the staff. Contact iDelivery support immediately and report the issue. They will intervene on your behalf."
All,"What if I forget the customer's PIN?","The PIN is in the app. If you forget it, you must contact iDelivery support to verify it and complete the order."
All,"The customer is asking for a refund directly from me.","Do not provide a refund. Advise the customer to contact iDelivery's customer service directly to resolve the issue."
All,"What if the customer is trying to pay with a different payment method?","Do not accept any form of payment outside of the app. Advise the customer that all payments are handled digitally."
All,"The customer is claiming the order has been delivered but I haven't completed it.","This is likely a scam attempt. Report the customer to iDelivery support and do not proceed with the delivery."
All,"Can I refuse an order if the weather is bad?","Yes, you have the right to decline an order if you feel unsafe due to weather conditions. Your safety is a priority."
All,"What if a customer asks me to leave the order in their car?","Leave the order at the door or another secure location. Do not place it inside a vehicle. This is for your safety and to prevent liability issues."
All,"What if my phone battery dies mid-delivery?","Charge your phone as quickly as possible. If the order is delayed, contact iDelivery support to let them know the situation."
All,"Can I use a VPN while using the app?","No, using a VPN can cause issues with GPS and order assignment. It can also lead to suspension of your account."
All,"What happens if a customer complains about me?","The company will investigate the complaint. If it's a serious issue, it could lead to a review of your account and potential suspension."
All,"I was unable to complete an order due to a personal emergency. What should I do?","Contact iDelivery support immediately and let them know you are unable to continue the delivery. They will reassign the order."
All,"Can I refuse to deliver to a public building?","No, you must deliver to the specified address. However, you can report any issues to support."
All,"What if I get a parking ticket on a delivery?","You are responsible for all parking tickets. It is your responsibility to park legally while on a delivery."
All,"The customer wants me to leave the order with a neighbor.","Only leave the order with a neighbor if the customer has specified this in the delivery notes. Otherwise, contact support."
All,"I have a question about my tax filing. Can you help?","No, iDelivery cannot provide tax advice. You should consult a qualified tax professional to ensure you are complying with all local tax regulations."
All,"What if the order is sealed with tamper-proof stickers?","Do not open the bag. The customer is responsible for checking the contents of the order once they receive it. Your responsibility is to deliver the order as it was provided."
All,"What if I get a speeding ticket?","You are responsible for any traffic violations you incur, including speeding tickets. The company will not reimburse you for these fines."
All,"The customer is asking for my full name.","You should only provide your first name for privacy reasons. Do not give out your full name or any other personal information to the customer."
All,"What if I get a parking fine?","You are responsible for all parking fines. It is your responsibility to park legally and safely while on a delivery."
All,"A customer is not home. What happens to the food?","The app will guide you through the process, which usually involves a waiting period. In most cases, you will be instructed to dispose of the food after a set waiting period."
All,"Can I deliver with a friend?","Yes, but you must be the only person handling the delivery for safety and liability reasons."
All,"What if I have to use a paid parking lot?","Parking costs can be claimed as a business expense on your tax return. Keep a record of all receipts for your tax filings."
All,"I received an order for a closed business.","Contact iDelivery support immediately. They will cancel the order, and you will get a partial payment as compensation."
All,"The customer has a special request in the notes that I cannot fulfill.","Politely inform the customer you cannot fulfill the request and advise them to contact customer service to make a change to the order."
All,"What if I have to cross a toll bridge?","You will be reimbursed for tolls. Contact iDelivery support with your receipt for instructions on how to submit it for payment."
All,"What is the dress code?","There is no strict dress code, but you must be neat, clean, and presentable. A professional appearance is important for a good customer experience."
All,"I can't find the customer's office in a large building.","Call the customer to ask for a specific office number or to meet you in the lobby. This is a common situation that requires direct communication."
All,"The customer is claiming the order has been delivered but I haven't completed it.","This is likely a scam attempt. Report the customer to iDelivery support immediately and do not proceed with the delivery to prevent fraud."
All,"What if I get a speeding ticket?","You are responsible for the ticket. The company will not reimburse you for traffic violations, as they are your personal responsibility."
All,"Can I use a different vehicle than the one I registered?","Yes, but you must ensure it meets all safety and insurance requirements. You should also update your vehicle details with iDelivery support for accurate delivery assignments."
All,"What if I have a question about my tax filing?","The company cannot provide tax advice. You should consult a tax professional to ensure you are complying with all tax regulations for your country."
All,"The customer is asking for a different item.","Explain that you are not able to modify the order and that they must contact customer service. You are a courier, not a restaurant employee."
All,"What if the restaurant is out of an item?","Inform the customer of the missing item and advise them to contact customer service for a refund. You cannot add or change items in the order."
All,"The customer has a promotional code problem.","Advise them to contact customer service. You are not responsible for promotions or discounts, as these are handled by the company's billing system."
All,"What if a customer wants to give me an item to take back to the restaurant?","Do not take anything back. Advise the customer to contact customer service for a refund or to arrange a new order."
All,"The customer is asking for a refund directly from me.","Do not provide a refund. Advise the customer to contact the company's customer service directly to resolve the issue. You cannot handle financial transactions."
All,"Can I change my profile picture?","You can change your profile picture by contacting iDelivery support. They will review and approve the new photo to ensure it meets company standards."
All,"What if my phone battery dies mid-delivery?","Charge your phone as quickly as possible. If the order is delayed, contact iDelivery support to let them know the situation and get help."
All,"What if a customer is offering me an additional tip in cash?","You can accept cash tips, as they are not tracked by the company. Tips are always for you to keep and do not affect your regular pay."
All,"What is the difference between a receipt and an invoice?","A receipt is proof of payment, and an invoice is a document requesting payment. As a courier, you will receive payment statements that serve as invoices for your services."
All,"I have a question about my tax filing. Can you help?","No, iDelivery cannot provide tax advice. You should consult a qualified tax professional to ensure you are complying with all local tax regulations."
All,"What if I have to cross a toll bridge?","You will be reimbursed for tolls. Contact iDelivery support with your receipt for instructions on how to submit it for payment."
All,"What if I have to pay for parking?","You are responsible for all parking tickets. It is your responsibility to park legally while on a delivery."
All,"A customer is not home. What happens to the food?","The app will guide you through the process, which usually involves a waiting period. In most cases, you will be instructed to dispose of the food after a set waiting period."
All,"Can I deliver with a friend?","Yes, but you must be the only person handling the delivery for safety and liability reasons."
All,"What if I have to use a paid parking lot?","Parking costs can be claimed as a business expense on your tax return. Keep a record of all receipts for your tax filings."
All,"What is the best time to work?","Peak hours are typically mealtimes (lunch and dinner). Weekends and holidays are also often the most profitable."
All,"What if a customer gives me a low rating?","A low rating on its own won't have a significant impact. However, a consistent pattern of low ratings could be reviewed by the company."
All,"How do I handle a customer who didn't receive their order?","Advise the customer to contact iDelivery's customer support. They can track the order and investigate the issue."
All,"Can I use a second app at the same time?","Yes, you can be active on multiple platforms. However, you are responsible for managing your time to ensure all deliveries are completed promptly."
All,"What if I'm injured on a delivery?","Seek medical attention first. Then, contact iDelivery support to report the incident and check on any company policies regarding work-related injuries."
All,"Do I need a special license to be a courier?","You need a valid driver's license for your vehicle type. However, for a commercial vehicle, a special license may be required by local law."
All,"How do I handle a situation where a customer is at a public place?","Call the customer to confirm their exact location. Look for landmarks or distinguishing features to make a successful delivery."
All,"Can I have someone else with me while I'm delivering?","You can, but they cannot perform any part of the delivery. The order must be delivered by you alone for safety and liability reasons."
All,"The restaurant won't give me the order. What do I do?","Politely explain you are with iDelivery. If they still refuse, contact support immediately and report the issue. Do not engage in an argument."
All,"The customer is not responding. How long should I wait?","The app will have a timer, usually 5-10 minutes. If the customer doesn't respond, contact support for instructions."
All,"My vehicle has run out of fuel mid-delivery.","Contact iDelivery support immediately. They will reassign the order, and you will need to arrange for fuel yourself."
All,"Can I use a different vehicle than the one registered?","You can, but you must ensure it meets all safety and insurance requirements. You should also update the vehicle details with iDelivery support."
All,"What if the restaurant is refusing to give me the order?","Do not argue with the staff. Contact iDelivery support immediately and report the issue. They will intervene on your behalf."
All,"What if I forget the customer's PIN?","The PIN is in the app. If you forget it, you must contact iDelivery support to verify it and complete the order."
All,"The customer is asking for a refund directly from me.","Do not provide a refund. Advise the customer to contact iDelivery's customer service directly to resolve the issue."
All,"What if the customer is trying to pay with a different payment method?","Do not accept any form of payment outside of the app. Advise the customer that all payments are handled digitally."
All,"The customer is claiming the order has been delivered but I haven't completed it.","This is likely a scam attempt. Report the customer to iDelivery support and do not proceed with the delivery."
All,"Can I refuse an order if the weather is bad?","Yes, you have the right to decline an order if you feel unsafe due to weather conditions. Your safety is a priority."
All,"What if a customer asks me to leave the order in their car?","Leave the order at the door or another secure location. Do not place it inside a vehicle. This is for your safety and to prevent liability issues."
All,"What if my phone battery dies mid-delivery?","Charge your phone as quickly as possible. If the order is delayed, contact iDelivery support to let them know the situation."
All,"Can I use a VPN while using the app?","No, using a VPN can cause issues with GPS and order assignment. It can also lead to suspension of your account."
All,"What happens if a customer complains about me?","The company will investigate the complaint. If it's a serious issue, it could lead to a review of your account and potential suspension."
All,"I was unable to complete an order due to a personal emergency. What should I do?","Contact iDelivery support immediately and let them know you are unable to continue the delivery. They will reassign the order."
All,"Can I refuse to deliver to a public building?","No, you must deliver to the specified address. However, you can report any issues to support."
All,"What if I get a parking ticket on a delivery?","You are responsible for all parking tickets. It is your responsibility to park legally while on a delivery."
All,"The customer wants me to leave the order with a neighbor.","Only leave the order with a neighbor if the customer has specified this in the delivery notes. Otherwise, contact support."
All,"I have a question about my tax filing. Can you help?","No, iDelivery cannot provide tax advice. You should consult a qualified tax professional to ensure you are complying with all local tax regulations."
All,"What if the order is sealed with tamper-proof stickers?","Do not open the bag. The customer is responsible for checking the contents of the order once they receive it. Your responsibility is to deliver the order as it was provided."
All,"What if I get a speeding ticket?","You are responsible for any traffic violations you incur, including speeding tickets. The company will not reimburse you for these fines."
All,"The customer is asking for my full name.","You should only provide your first name for privacy reasons. Do not give out your full name or any other personal information to the customer."
All,"What if I get a parking fine?","You are responsible for all parking fines. It is your responsibility to park legally and safely while on a delivery."
All,"A customer is not home. What happens to the food?","The app will guide you through the process, which usually involves a waiting period. In most cases, you will be instructed to dispose of the food after a set waiting period."
All,"Can I deliver with a friend?","Yes, but you must be the only person handling the delivery for safety and liability reasons."
All,"What if I have to use a paid parking lot?","Parking costs can be claimed as a business expense on your tax return. Keep a record of all receipts for your tax filings."
All,"I received an order for a closed business.","Contact iDelivery support immediately. They will cancel the order, and you will get a partial payment as compensation."
All,"The customer has a special request in the notes that I cannot fulfill.","Politely inform the customer you cannot fulfill the request and advise them to contact customer service to make a change to the order."
All,"What if I have to cross a toll bridge?","You will be reimbursed for tolls. Contact iDelivery support with your receipt for instructions on how to submit it for payment."
All,"What is the dress code?","There is no strict dress code, but you must be neat, clean, and presentable. A professional appearance is important for a good customer experience."
All,"I can't find the customer's office in a large building.","Call the customer to ask for a specific office number or to meet you in the lobby. This is a common situation that requires direct communication."
All,"The customer is claiming the order has been delivered but I haven't completed it.","This is likely a scam attempt. Report the customer to iDelivery support immediately and do not proceed with the delivery to prevent fraud."
All,"What if I get a speeding ticket?","You are responsible for the ticket. The company will not reimburse you for traffic violations, as they are your personal responsibility."
All,"Can I use a different vehicle than the one I registered?","Yes, but you must ensure it meets all safety and insurance requirements. You should also update your vehicle details with iDelivery support for accurate delivery assignments."
All,"What if I have a question about my tax filing?","The company cannot provide tax advice. You should consult a tax professional to ensure you are complying with all tax regulations for your country."
All,"The customer is asking for a different item.","Explain that you are not able to modify the order and that they must contact customer service. You are a courier, not a restaurant employee."
All,"What if the restaurant is out of an item?","Inform the customer of the missing item and advise them to contact customer service for a refund. You cannot add or change items in the order."
All,"The customer has a promotional code problem.","Advise them to contact customer service. You are not responsible for promotions or discounts, as these are handled by the company's billing system."
All,"What if a customer wants to give me an item to take back to the restaurant?","Do not take anything back. Advise the customer to contact customer service for a refund or to arrange a new order."
All,"The customer is asking for a refund directly from me.","Do not provide a refund. Advise the customer to contact the company's customer service directly to resolve the issue. You cannot handle financial transactions."
All,"Can I change my profile picture?","You can change your profile picture by contacting iDelivery support. They will review and approve the new photo to ensure it meets company standards."
All,"What if my phone battery dies mid-delivery?","Charge your phone as quickly as possible. If the order is delayed, contact iDelivery support to let them know the situation and get help."
All,"What if a customer is offering me an additional tip in cash?","You can accept cash tips, as they are not tracked by the company. Tips are always for you to keep and do not affect your regular pay."
All,"What is the difference between a receipt and an invoice?","A receipt is proof of payment, and an invoice is a document requesting payment. As a courier, you will receive payment statements that serve as invoices for your services."
All,"I have a question about my tax filing. Can you help?","No, iDelivery cannot provide tax advice. You should consult a qualified tax professional to ensure you are complying with all local tax regulations."
